Item,ItemB,ItemC,EF.commodity,LUm2.1000kcal,kgCO2e.1000kcal,SWW.liter.1000kcal,PO4e.1000kcal,kcal.per.gram.category,kcal.per.kg.FAO,kcals.per.gram,tmp,kcals.per.gram.Table,proteingrams.per.gram,fatgrams.per.gram,ItemX,Commodity,Trade ,Dom.demand,Dom.demand_V2,FoodSupply.AU,Considerations,Comm_ID,Commodity.profmap,Agstats_Commodity_Label,Agstats_Commodity_Code,SYSTEM,irrigation,Comm_sys,SPREAD_Commodity,Landuse2,LU_8_Class
"Sugar, Refined Equiv",Sugar ,Sugar ,Cane Sugar,0.581196581,0.911680912,4683.361823,4.820512821,SUGAR REFINED,3870,6.5,7,3.87,0,0,"Sugar, Refined Equiv",Sugar,Sugar cane,Sugar ,Sugar ,,,49,Sugar,Non-cereal broadacre crops - Sugar cane - total area (ha),1903101,dryland,0,Sugar-dryland,Sugar,Sugar,Broadacre Crops
"Sweeteners, Other",Sugar ,Sugar ,Beet Sugar,0.521367521,0.515669516,2704.643875,1.541310541,OTHER FRUCTOSE,511.1150075,6.5,7,2.98,0.003,0,"Sweeteners, Other",Sugar,Sugar,Sugar ,Sugar ,"Sweeteners, Other",,,,,,,,,Sugar,,
Cassava and products,Vegetables (nec),Vegetables (nec),Cassava,1.858316222,1.35523614,2511.351351,0.708418891,CASSAVA,1090,2.6,2.6,1.09,0.009,0.002,Cassava and products,Cassava,Roots & tubers,Roots & tubers,Roots & tubers,Cassava and products,Changing trends in imports could be accounted for through a storyline parameter (e.g self-sufficient versus continuation of current trends),,,,,,,,Vegetables,,
Cloves,Vegetables (nec),Vegetables (nec),Barley,0.222,0.236,139.28,0.466,CLOVES,3230,2.6,2.6,3.23,0.06,0.201,Cloves,Vegetables,Vegetables,Vegetables,Vegetables (nec),Cloves,,,,,,,,,Vegetables,,
Onions,Vegetables (nec),Vegetables (nec),Onions & Leeks,1.054054054,1.351351351,2518.918919,8.756756757,"ONIONS, DRY",309.0496719,2.6,2.6,0.31,0.011,0.002,Onions,Onion,Vegetables (net trade model),Vegetables,Vegetables (nec),Onions,Changing trends in imports could be accounted for through a storyline parameter (e.g self-sufficient versus continuation of current trends),257,Onion,Vegetables for human consumption - Spring onions shallots and bunching onions - area (ha),3612201,dryland,0,Onion-dryland,Vegetables,Vegetables,Horticulture
Pepper,Vegetables (nec),Vegetables (nec),Tomatoes,4.210526316,11,28082.63158,39.52631579,PEPPER WHITE/LONG/BLACK,3423.265793,2.6,2.6,2.76,0.107,0.027,Pepper,Capsicum,Vegetables (net trade model),Vegetables,Vegetables (nec),Pepper,Changing trends in imports could be accounted for through a storyline parameter (e.g self-sufficient versus continuation of current trends),,,,,,,,Vegetables,,
Pimento,Vegetables (nec),Vegetables (nec),Tomatoes,4.210526316,11,28082.63158,39.52631579,PIMENTO,2134.049573,2.6,2.6,3.18,0.12,0.173,Pimento,Capsicum,Vegetables (net trade model),Vegetables,Vegetables (nec),Pimento,Changing trends in imports could be accounted for through a storyline parameter (e.g self-sufficient versus continuation of current trends),,,,,,,,Vegetables,,
Roots & Tuber Dry Equiv,Vegetables (nec),Vegetables (nec),Root Vegetables,0.891891892,1.162162162,2511.351351,4.351351351,"ROOTS, TUBERS DRIED",2820,2.6,2.6,2.82,0.05,0.006,Roots & Tuber Dry Equiv,,Roots & tubers (net trade model),Roots & tubers,Roots & tubers,,,,,,,,,,Vegetables,,
"Roots, Other",Vegetables (nec),Vegetables (nec),Root Vegetables,0.891891892,1.162162162,2511.351351,4.351351351,"ROOTS, TUBERS NES",58.49358974,2.6,2.6,0.91,0.016,0.002,Roots Other,,Roots & tubers (net trade model),Roots & tubers,Roots & tubers,"Roots, Other",Changing trends in imports could be accounted for through a storyline parameter (e.g self-sufficient versus continuation of current trends),,,,,,,,Vegetables,,
"Spices, Other",Vegetables (nec),Vegetables (nec),Barley,0.222,0.236,139.28,0.466,SPICES NES,4176.811324,2.6,2.6,3.37,0.113,0.155,"Spices, Other",Spices,Vegetables,Vegetables,Vegetables (nec),"Spices, Other",,,,,,,,,Vegetables,,
Sweet potatoes,Vegetables (nec),Vegetables (nec),Potatoes,1.202185792,0.628415301,3762.568306,4.754098361,SWEET POTATOES,575.5201097,2.6,2.6,0.92,0.007,0.002,Sweet potatoes,Sweet potato,Roots & tubers (net trade model),Roots & tubers,Roots & tubers,Sweet potatoes,Changing trends in imports could be accounted for through a storyline parameter (e.g self-sufficient versus continuation of current trends),267,Sweet Potato,Vegetables for human consumption - Sweet potatoes - area (ha),3608101,dryland,0,Sweet Potato-dryland,Vegetables,Vegetables,Horticulture
Tomatoes and products,Vegetables (nec),Vegetables (nec),Tomatoes,4.210526316,11,28082.63158,39.52631579,TOMATOES,174.0891424,2.6,2.6,0.17,0.008,0.002,Tomatoes and products,Tomato,Vegetables (net trade model),Vegetables,Vegetables (nec),Tomatoes and products,Changing trends in imports could be accounted for through a storyline parameter (e.g self-sufficient versus continuation of current trends),268,Tomato,Vegetables for human consumption - Tomatoes - total area (ha),3608811,dryland,0,Tomato-dryland,Vegetables,Vegetables,Horticulture
"Vegetables, Other",Vegetables (nec),Vegetables (nec),Onions & Leeks,1.054054054,1.351351351,2518.918919,8.756756757,VEGETABLES NES FRESH,271.6940508,2.6,2.6,0.22,0.014,0.002,Vegetables Other,,Vegetables (net trade model),Vegetables,Vegetables (nec),"Vegetables, Other",Changing trends in imports could be accounted for through a storyline parameter (e.g self-sufficient versus continuation of current trends),,,,,,,,Vegetables,,
Wheat and products,Wheat and products,Wheat and products,Wheat & Rye,1.439074806,0.586843492,12479.05866,2.676305353,WHEAT,2873.044476,2.873044476,2.873044476,3.34,0.122,0.023,Wheat and products,Wheat,Wheat,Cereals,Wheat,Wheat and products,Ratios between cereals remains constant to base year (responds to people's taste and is consistent with dietary guidelines),47,Wheat,Cereal crops - Wheat for grain - area (ha),1500101,dryland,0,Wheat-dryland,Winter Cereals,Cereals,Broadacre Crops
Wine,Wine,Wine,Berries & Grapes,4.228070175,2.684210526,37126.49123,10.73684211,WINE,681.453937,0.681453937,0.681453937,0.68,0,0,Wine,Grape,Alcoholic beverages,Alcoholic beverages,Alcoholic beverages,Wine,Shares remain constant - equivalence factors for juices and other products,,,,,,,,Grapes,,
